journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Networks,cs_ai,T2,0028-3045;1097-0037,3321,97,Networks
Neural Processing Letters,cs_ai,T2,1370-4621;1573-773X,3304,373,Neural Processing Letters
Machine Learning,cs_ai,T2,0885-6125;1573-0565,3203,1078,Machine Learning
IEEE Transactions on Network and Service Management,cs_ai,T2,1932-4537;1932-4537;2373-7379,3198,721,IEEE Transactions on Network and Service Management
International Journal of Machine Learning and Cybernetics,cs_ai,T2,1868-8071;1868-808X,3041,2035,International Journal of Machine Learning and Cybernetics
Artificial Intelligence Review,cs_ai,T2,0269-2821;1573-7462,3036,2365,Artificial Intelligence Review
Journal of Advanced Computational Intelligence and Intelligent Informatics,cs_ai,T2,1343-0130;1883-8014,2990,668,Journal of Advanced Computational Intelligence and Intelligent Informatics
Knowledge and Information Systems,cs_ai,T2,0219-1377;0219-3116,2947,690,Knowledge and Information Systems
International Journal of Computational Intelligence Systems,cs_ai,T2,1875-6891;1875-6883,2940,2379,International Journal of Computational Intelligence Systems
Mobile Networks and Applications,cs_ai,T2,1383-469X;1572-8153,2891,188,Mobile Networks and Applications
Journal of King Saud University Computer and Information Sciences,cs_ai,T2,1319-1578;2213-1248,2841,654,Journal of King Saud University - Computer and Information Sciences
Journal of King Saud University - Computer and Information Sciences,cs_ai,T2,1319-1578;2213-1248,2841,301,Journal of King Saud University - Computer and Information Sciences
Journal of Computational Electronics,cs_ai,T2,1569-8025;1572-8137,2808,407,Journal of Computational Electronics
Computational Economics,cs_ai,T2,0927-7099;1572-9974,2806,805,Computational Economics
IEEE Transactions on Computational Social Systems,cs_ai,T2,2329-924X,2768,3198,IEEE Transactions on Computational Social Systems
Journal of Computer Assisted Learning,cs_ai,T2,0266-4909;1365-2729,2737,825,Journal of Computer Assisted Learning
International Journal of Geographical Information Science,cs_ai,T2,1365-8816;1362-3087,2725,321,International Journal of Geographical Information Science
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",cs_ai,T2,0894-3370;1099-1204,2708,267,International Journal of Numerical Modelling Electronic Networks Devices and Fields
Journal of Computational and Graphical Statistics,cs_ai,T2,1061-8600;1537-2715,2451,343,Journal of Computational and Graphical Statistics
Advanced Intelligent Systems,cs_ai,T2,2640-4567;2640-4567,2391,841,Advanced Intelligent Systems
Journal of Optical Communications and Networking,cs_ai,T2,1943-0620;1943-0639,2364,182,Journal of Optical Communications and Networking
Computational Optimization and Applications,cs_ai,T2,0926-6003;1573-2894,2339,231,Computational Optimization and Applications
Journal of Computational Science,cs_ai,T2,1877-7503,2305,470,Journal of Computational Science
Proceedings of the Association for Information Science and Technology,cs_ai,T2,2373-9231;2373-9231,2208,524,Proceedings of the Association for Information Science and Technology
