journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Journal of Solution Chemistry,stem,T2,0095-9782;1572-8927,5301,226,Journal of Solution Chemistry
Chinese Journal of Chemical Engineering,stem,T2,1004-9541,5299,5172,Chinese Journal of Chemical Engineering
Russian Engineering Research,stem,T2,1068-798X;1934-8088,5294,4734,Russian Engineering Research
Journal of Physical Organic Chemistry,stem,T2,0894-3230;1099-1395,5277,122,Journal of Physical Organic Chemistry
Journal of Chemical & Engineering Data,stem,T2,,5268,5268,
ACS Applied Electronic Materials,stem,T2,2637-6113;2637-6113,5222,4441,ACS Applied Electronic Materials
Laser Physics,stem,T2,1054-660X;1555-6611,5199,261,Laser Physics
Science China Chemistry,stem,T2,1674-7291;1869-1870,5197,1393,Science China Chemistry
Journal of Applied Geophysics,stem,T2,0926-9851,5176,757,Journal of Applied Geophysics
International Journal of Modern Physics C,stem,T2,0129-1831;0129-1831;1793-6586,5160,1024,International Journal of Modern Physics C
Energy Storage Materials,stem,T2,2405-8297,5116,3965,Energy Storage Materials
"Engineering, Construction and Architectural Management",stem,T2,,4985,4985,
Foundations of Physics,stem,T2,0015-9018;1572-9516,4980,169,Foundations of Physics
Nature Chemistry,stem,T2,1755-4330;1755-4349,4961,678,Nature Chemistry
Nuclear Engineering and Technology,stem,T2,1738-5733;2234-358X,4909,10020,Nuclear Engineering and Technology
Chinese Physics C,stem,T2,1674-1137;2058-6132,4827,1536,Chinese Physics C
Energy Technology,stem,T2,2194-4288;2194-4296,4765,1036,Energy Technology
Letters in Mathematical Physics,stem,T2,0377-9017;1573-0530,4756,316,Letters in Mathematical Physics
Structural Chemistry,stem,T2,1040-0400;1572-9001,4734,490,Structural Chemistry
Engineering Research Express,stem,T2,2631-8695,4729,21066,Engineering Research Express
Biosystems Engineering,stem,T2,1537-5110;1537-5129,4616,954,Biosystems Engineering
Journal of Inclusion Phenomena and Macrocyclic Chemistry,stem,T3,1388-3127;1573-1111,4558,117,Journal of Inclusion Phenomena and Macrocyclic Chemistry
Sustainable Energy Technologies and Assessments,stem,T3,2213-1388,4541,1165,Sustainable Energy Technologies and Assessments
Indian Journal of Physics,stem,T3,0019-5480;0974-9845;0973-1458,4524,1918,Indian Journal of Physics
Asian Journal of Organic Chemistry,stem,T3,2193-5807;2193-5815,4515,985,Asian Journal of Organic Chemistry
Laser Physics Letters,stem,T3,1612-2011;1612-202X,4481,345,Laser Physics Letters
Thermal Science and Engineering Progress,stem,T3,2451-9049,4407,18912,Thermal Science and Engineering Progress
Fatigue & Fracture of Engineering Materials & Structures,stem,T3,,4364,4364,
Chemistry – A European Journal,stem,T3,,4323,4323,
International Journal of Applied Ceramic Technology,stem,T3,1546-542X;1744-7402,4309,863,International Journal of Applied Ceramic Technology
Contributions to Plasma Physics,stem,T3,0863-1042;1521-3986,4303,210,Contributions to Plasma Physics
Beilstein Journal of Organic Chemistry,stem,T3,1860-5397;1860-5397,4280,523,Beilstein Journal of Organic Chemistry
Advanced Engineering Informatics,stem,T3,1474-0346,4262,12708,Advanced Engineering Informatics
Russian Metallurgy (Metally),stem,T3,0036-0295;1555-6255,4255,588,Russian Metallurgy (Metally)
Physics-Uspekhi,stem,T3,1063-7869;1468-4780,4249,116,Physics-Uspekhi
Brazilian Journal of Physics,stem,T3,0103-9733;0103-9733;1678-4448,4125,1270,Brazilian Journal of Physics
International Journal of Modern Physics E,stem,T3,0218-3013;0218-3013;1793-6608,4095,263,International Journal of Modern Physics E
International Journal of Geometric Methods in Modern Physics,stem,T3,0219-8878;1793-6977,3984,1144,International Journal of Geometric Methods in Modern Physics
Coastal Engineering,stem,T3,0378-3839,3966,417,Coastal Engineering
Current Organic Chemistry,stem,T3,1385-2728,3915,219,Current Organic Chemistry
Oriental Journal Of Chemistry,stem,T3,0970-020X;2231-5039,3891,492,Oriental Journal Of Chemistry
Materials & Design,stem,T3,,3874,3874,
Chinese Journal of Mechanical Engineering,stem,T3,1000-9345;2192-8258,3836,3170,Chinese Journal of Mechanical Engineering
Materials Chemistry Frontiers,stem,T3,2052-1537,3815,633,Materials Chemistry Frontiers
Structural Concrete,stem,T3,1464-4177;1751-7648,3806,997,Structural Concrete
Ain Shams Engineering Journal,stem,T3,2090-4479,3795,8982,Ain Shams Engineering Journal
Journal of Mathematical Chemistry,stem,T3,0259-9791;1572-8897,3765,196,Journal of Mathematical Chemistry
IEEJ Transactions on Electrical and Electronic Engineering,stem,T3,1931-4973;1931-4981,3740,2156,IEEJ Transactions on Electrical and Electronic Engineering
International Journal of Precision Engineering and Manufacturing,stem,T3,1229-8557;2005-4602;2234-7593,3738,1452,International Journal of Precision Engineering and Manufacturing
Reaction Chemistry & Engineering,stem,T3,,3729,3729,
IEEE Transactions on Nanotechnology,stem,T3,1536-125X;1941-0085,3545,206,IEEE Transactions on Nanotechnology
Materials Today Chemistry,stem,T3,2468-5194,3527,1733,Materials Today Chemistry
Physics of Metals and Metallography,stem,T3,0031-918X;1555-6190,3524,806,The Physics of Metals and Metallography
Computational Mathematics and Mathematical Physics,stem,T3,0965-5425;1555-6662,3490,898,Computational Mathematics and Mathematical Physics
Theoretical Foundations of Chemical Engineering,stem,T3,0040-5795;1608-3431,3490,427,Theoretical Foundations of Chemical Engineering
Chinese Journal of Physics,stem,T3,0577-9073,3478,2428,Chinese Journal of Physics
Advances in Structural Engineering,stem,T3,1369-4332;2048-4011,3478,474,Advances in Structural Engineering
"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",stem,T3,2456-3307,3375,7182,International Journal of Scientific Research in Computer Science Engineering and Information Technology
Plasma Physics Reports,stem,T3,1063-780X;1562-6938,3318,295,Plasma Physics Reports
Journal of Computational Methods in Sciences and Engineering,stem,T3,1472-7978;1875-8983,3281,8382,Journal of Computational Methods in Sciences and Engineering
Russian Journal of Coordination Chemistry,stem,T3,1070-3284;1608-3318,3271,225,Russian Journal of Coordination Chemistry
Results in Chemistry,stem,T3,2211-7156,3255,2014,Results in Chemistry
Computer-Aided Civil and Infrastructure Engineering,stem,T3,1093-9687;1467-8667,3218,2176,Computer-Aided Civil and Infrastructure Engineering
"Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering",stem,T3,0954-4089;2041-3009,3204,5014,Proceedings of the Institution of Mechanical Engineers Part E Journal of Process Mechanical Engineering
Russian Journal of Physical Chemistry B,stem,T3,1990-7931;1990-7923,3198,400,Russian Journal of Physical Chemistry B
Russian Journal of Bioorganic Chemistry,stem,T3,1068-1620;1573-9163;1608-330X,3152,527,Russian Journal of Bioorganic Chemistry
International Journal of System Assurance Engineering and Management,stem,T3,0975-6809;0976-4348,3143,6102,International Journal of Systems Assurance Engineering and Management
Applied Materials Today,stem,T3,2352-9407,3131,1158,Applied Materials Today
Engineering Computations,stem,T3,0264-4401;0264-4401;1758-7077,3129,414,Engineering Computations
"International Journal of Minerals, Metallurgy and Materials",stem,T3,1674-4799;1869-103X,3095,558,International Journal of Minerals Metallurgy and Materials
Powder Metallurgy,stem,T3,0032-5899;1743-2901,3052,91,Powder Metallurgy
Letters in Organic Chemistry,stem,T3,1570-1786,3040,194,Letters in Organic Chemistry
Materials Today Bio,stem,T3,2590-0064,3031,2121,Materials Today Bio
International Journal of Pavement Engineering,stem,T3,1029-8436;1477-268X,2955,3293,International Journal of Pavement Engineering
Physics of Particles and Nuclei Letters,stem,T3,1547-4771;1531-8567,2948,970,Physics of Particles and Nuclei Letters
Polymer,stem,T3,,2860,2860,
Physics and Chemistry of Liquids,stem,T3,0031-9104;1029-0451,2860,232,Physics and Chemistry of Liquids
Geoenergy Science and Engineering,stem,T3,2949-8910,2849,10554,Geoenergy Science and Engineering
Journal of Applied Mathematics and Physics,stem,T3,2327-4352;2327-4379,2842,1154,Journal of Applied Mathematics and Physics
IEEE Transactions on Network Science and Engineering,stem,T3,2327-4697;2327-4697;2334-329X,2834,7788,IEEE Transactions on Network Science and Engineering
Journal of Asian Architecture and Building Engineering,stem,T3,1346-7581;1347-2852,2823,5430,Journal of Asian Architecture and Building Engineering
Chemistry & Biodiversity,stem,T3,,2789,2789,
Infrared Physics & Technology,stem,T3,,2782,2782,
Open Chemistry,stem,T3,2391-5420,2751,257,Open Chemistry
Astroparticle Physics,stem,T3,0927-6505,2744,140,Astroparticle Physics
Inorganic Materials: Applied Research,stem,T3,2075-1133;2075-115X,2722,562,Inorganic Materials Applied Research
Discover Applied Sciences,stem,T3,3004-9261,2709,2672,Discover Applied Sciences
Journal of Rock Mechanics and Geotechnical Engineering,stem,T3,1674-7755,2698,8184,Journal of Rock Mechanics and Geotechnical Engineering
Beilstein Journal of Nanotechnology,stem,T3,2190-4286;2190-4286,2694,321,Beilstein Journal of Nanotechnology
Acoustical Physics,stem,T3,1063-7710;1562-6865,2691,169,Acoustical Physics
Reports on Progress in Physics,stem,T3,0034-4885;1361-6633,2689,202,Reports on Progress in Physics
Journal of the Energy Institute,stem,T3,0144-2600;1746-0220;1743-9671,2660,935,Journal of the Energy Institute
Communications Physics,stem,T3,2399-3650,2589,2158,Communications Physics
Journal of the Indian Chemical Society,stem,T3,0019-4522,2550,1453,Journal of the Indian Chemical Society
Journal of Modern Physics,stem,T3,2153-1196;2153-120X,2544,204,Journal of Modern Physics
Open Physics,stem,T3,2391-5471,2498,298,Open Physics
Glass Physics and Chemistry,stem,T3,1087-6596;1608-313X,2490,349,Glass Physics and Chemistry
Plasma Chemistry and Plasma Processing,stem,T3,0272-4324;1572-8986,2473,217,Plasma Chemistry and Plasma Processing
Protection of Metals and Physical Chemistry of Surfaces,stem,T3,2070-2051;2070-206X,2469,236,Protection of Metals and Physical Chemistry of Surfaces
Journal of Radiation Research and Applied Sciences,stem,T3,1687-8507;1687-8507,2467,1504,Journal of Radiation Research and Applied Sciences
High Energy Chemistry,stem,T3,0018-1439;1608-3148,2466,359,High Energy Chemistry
Petroleum Chemistry,stem,T3,0965-5441;1555-6239,2448,270,Petroleum Chemistry
Progress of Theoretical and Experimental Physics,stem,T3,2050-3911,2447,772,Progress of Theoretical and Experimental Physics
Chinese Journal of Chemical Physics,stem,T3,1003-7713;1674-0068;2327-2244,2432,214,Chinese Journal of Chemical Physics
Organic & Biomolecular Chemistry,stem,T3,,2417,2417,
International Journal of ADVANCED AND APPLIED SCIENCES,stem,T3,2313-626X;2313-3724,2364,668,International Journal of ADVANCED AND APPLIED SCIENCES
Cogent Engineering,stem,T3,2331-1916;2331-1916,2282,467,Cogent Engineering
Materials Today Energy,stem,T3,2468-6069,2223,741,Materials Today Energy
Ukrainian Journal of Physics,stem,T3,2071-0186;2071-0194,2152,206,Ukrainian Journal of Physics
Physics of Particles and Nuclei,stem,T3,1063-7796;1531-8559,2142,1011,Physics of Particles and Nuclei
Moscow University Physics Bulletin,stem,T3,0027-1349;1934-8460,2123,371,Moscow University Physics Bulletin
"Iranian Journal of Science and Technology, Transactions of Civil Engineering",stem,T3,2228-6160;2364-1843,2098,4734,Iranian Journal of Science and Technology Transactions of Civil Engineering
Bulletin of the Lebedev Physics Institute,stem,T3,1068-3356;1934-838X,2040,962,Bulletin of the Lebedev Physics Institute
Energy Strategy Reviews,stem,T3,2211-467X,2021,920,Energy Strategy Reviews
Izvestiya. Ferrous Metallurgy,stem,T3,0368-0797;2410-2091,1992,175,Izvestiya Ferrous Metallurgy
Communications Chemistry,stem,T3,2399-3669,1980,863,Communications Chemistry
Journal of Nonlinear Mathematical Physics,stem,T3,1402-9251;1776-0852,1975,236,Journal of Nonlinear Mathematical Physics
"Sustainable Energy, Grids and Networks",stem,T3,2352-4677,1963,991,Sustainable Energy Grids and Networks
Physics of the Dark Universe,stem,T3,2212-6864,1945,1812,Physics of the Dark Universe
Physics of Life Reviews,stem,T3,1571-0645,1929,334,Physics of Life Reviews
"Engineering Science and Technology, an International Journal",stem,T3,2215-0986,1907,1602,Engineering Science and Technology an International Journal
Journal of Engineering and Applied Science,stem,T3,1816-949X,1897,3796,Journal of Engineering and Applied Sciences
Engineering Reports,stem,T3,2577-8196;2577-8196,1889,5706,Engineering Reports
Materials Today Physics,stem,T3,2542-5293,1868,1572,Materials Today Physics
Acta Crystallographica Section C Structural Chemistry,stem,T3,2053-2296;2053-2296,1857,214,Acta Crystallographica Section C Structural Chemistry
International Journal of Computational and Experimental Science and Engineering,stem,T3,2149-9144,1823,9750,International Journal of Computational and Experimental Science and Engineering
Coke and Chemistry,stem,T3,1068-364X;1934-8398,1821,235,Coke and Chemistry
Chemistry – An Asian Journal,stem,T3,,1808,1808,
Hans Journal of Civil Engineering,stem,T3,2326-3458;2326-3466,1799,3369,Hans Journal of Civil Engineering
Energy Conversion and Management: X,stem,T3,2590-1745,1787,1306,Energy Conversion and Management X
ACM Transactions on Software Engineering and Methodology,stem,T3,1049-331X;1557-7392,1752,4806,ACM Transactions on Software Engineering and Methodology
Chinese Journal of Analytical Chemistry,stem,T3,1872-2040,1738,252,Chinese Journal of Analytical Chemistry
Open Journal of Applied Sciences,stem,T3,2165-3917;2165-3925,1695,577,Open Journal of Applied Sciences
Critical Reviews in Analytical Chemistry,stem,T3,1040-8347;1547-6510,1679,278,Critical Reviews in Analytical Chemistry
Chemistry Education Research and Practice,stem,T3,1756-1108;1109-4028,1667,192,Chemistry Education Research and Practice
Asian Journal of Civil Engineering,stem,T3,1563-0854;2522-011X,1654,4180,Asian Journal of Civil Engineering
Applied  Physics,stem,T3,0340-3793,1649,199,Applied Physics
Archives of Computational Methods in Engineering,stem,T3,1134-3060;1886-1784,1643,1519,Archives of Computational Methods in Engineering
Chemistry Africa,stem,T3,2522-5758;2522-5766,1634,795,Chemistry Africa
e-Journal of Surface Science and Nanotechnology,stem,T3,1348-0391,1589,94,e-Journal of Surface Science and Nanotechnology
Wood Material Science & Engineering,stem,T3,,1587,1587,
Current Analytical Chemistry,stem,T3,1573-4110,1577,184,Current Analytical Chemistry
Journal of Sustainable Metallurgy,stem,T3,2199-3823;2199-3831,1465,694,Journal of Sustainable Metallurgy
Journal of Physics Communications,stem,T3,2399-6528,1404,117,Journal of Physics Communications
ACS ES&T Engineering,stem,T3,2690-0645;2690-0645,1377,3175,ACS ES&T Engineering
Journal of the Australian Ceramic Society,stem,T3,2510-1560;2510-1579,1355,56,Journal of the Australian Ceramic Society
Nanotechnology Reviews,stem,T3,2191-9089;2191-9097,1334,308,Nanotechnology Reviews
"Science China Physics, Mechanics & Astronomy",stem,T3,,1326,1326,
Applied Physics Reviews,stem,T3,1931-9401;1931-9401,1319,1062,Applied Physics Reviews
Energy Research & Social Science,stem,T3,,1300,1300,
Journal of Advanced Ceramics,stem,T3,2226-4108;2227-8508,1291,436,Journal of Advanced Ceramics
Mineral Processing and Extractive Metallurgy Review,stem,T3,0882-7508;1547-7401,1278,128,Mineral Processing and Extractive Metallurgy Review
Journal of Sulfur Chemistry,stem,T3,1741-5993;1741-6000,1262,132,Journal of Sulfur Chemistry
Solid Fuel Chemistry,stem,T3,0361-5219;1934-8029,1249,124,Solid Fuel Chemistry
BMC Chemistry,stem,T3,2661-801X,1245,667,BMC Chemistry
Vietnam Journal of Chemistry,stem,T3,0866-7144;2572-8288,1242,318,Vietnam Journal of Chemistry
Advances in Natural Sciences: Nanoscience and Nanotechnology,stem,T3,2043-6254;2043-6262,1238,172,Advances in Natural Sciences Nanoscience and Nanotechnology
STUDIES IN ENGINEERING AND EXACT SCIENCES,stem,T3,2764-0981,1222,3429,STUDIES IN ENGINEERING AND EXACT SCIENCES
ACS Applied Engineering Materials,stem,T3,2771-9545;2771-9545,1193,5404,ACS Applied Engineering Materials
Journal of Fuel Chemistry and Technology,stem,T3,1872-5813,1190,305,Journal of Fuel Chemistry and Technology
Analysis and Mathematical Physics,stem,T3,1664-2368;1664-235X,1179,317,Analysis and Mathematical Physics
Cleaner Engineering and Technology,stem,T3,2666-7908,1178,480,Cleaner Engineering and Technology
European Journal of Theoretical and Applied Sciences,stem,T3,2786-7447,1176,698,European Journal of Theoretical and Applied Sciences
Chemical Engineering Journal Advances,stem,T3,2666-8211,1151,2281,Chemical Engineering Journal Advances
"e-Prime - Advances in Electrical Engineering, Electronics and Energy",stem,T3,2772-6711,1116,4358,e-Prime - Advances in Electrical Engineering Electronics and Energy
Physical Review Physics Education Research,stem,T3,2469-9896,1111,274,Physical Review Physics Education Research
East European Journal of Physics,stem,T3,2312-4334;2312-4539,1101,948,East European Journal of Physics
Journal of Water Chemistry and Technology,stem,T3,1063-455X;1934-936X,1094,128,Journal of Water Chemistry and Technology
Archives of Civil and Mechanical Engineering,stem,T3,1644-9665;1644-9665,1079,3218,Archives of Civil and Mechanical Engineering
High Energy Density Physics,stem,T3,1574-1818;1878-0563,1078,124,High Energy Density Physics
Current Opinion in Green and Sustainable Chemistry,stem,T3,2452-2236,1076,152,Current Opinion in Green and Sustainable Chemistry
Journal of Contemporary Physics (Armenian Academy of Sciences),stem,T3,1068-3372;1934-9378,1073,120,Journal of Contemporary Physics (Armenian Academy of Sciences)
Chemical Physics Impact,stem,T3,2667-0224,1040,1887,Chemical Physics Impact
Sustainable Energy & Fuels,stem,T3,,1039,1039,
Asian Journal of Research in Chemistry,stem,T3,0974-4169;0974-4150,1039,127,Asian Journal of Research in Chemistry
Radiological Physics and Technology,stem,T3,1865-0333;1865-0341,1036,268,Radiological Physics and Technology
Russian Journal of Mathematical Physics,stem,T3,1061-9208;1555-6638,1024,138,Russian Journal of Mathematical Physics
Nature Reviews Chemistry,stem,T3,2397-3358,966,218,Nature Reviews Chemistry
Physics and Imaging in Radiation Oncology,stem,T3,2405-6316,957,860,Physics and Imaging in Radiation Oncology
ACS Applied Optical Materials,stem,T3,2771-9855;2771-9855,955,621,ACS Applied Optical Materials
EJNMMI Physics,stem,T3,2197-7364;2197-7364,945,250,EJNMMI Physics
Green Chemistry Letters and Reviews,stem,T3,1751-8253;1751-7192,944,180,Green Chemistry Letters and Reviews
IEEE Nanotechnology Magazine,stem,T3,1932-4510;1942-7808,943,67,IEEE Nanotechnology Magazine
Nature Reviews Physics,stem,T3,2522-5820,926,213,Nature Reviews Physics
Trends in Chemistry,stem,T3,2589-5974,920,224,Trends in Chemistry
Open Ceramics,stem,T3,2666-5395,915,414,Open Ceramics
Applied Surface Science Advances,stem,T3,2666-5239,908,370,Applied Surface Science Advances
Journal of the Turkish Chemical Society Section A: Chemistry,stem,T3,2149-0120,893,181,Journal of the Turkish Chemical Society Section A Chemistry
Analytical Chemistry Letters,stem,T3,2229-7928;2230-7532,858,139,Analytical Chemistry Letters
ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,stem,T3,,815,815,
"Journal of High Energy Physics, Gravitation and Cosmology",stem,T3,2380-4327;2380-4335,810,258,Journal of High Energy Physics Gravitation and Cosmology
"Ferrous Metallurgy. Bulletin of Scientific , Technical and Economic Information",stem,T3,0135-5910;2619-0753,810,163,Ferrous Metallurgy Bulletin of Scientific Technical and Economic Information
Gas Science and Engineering,stem,T3,2949-9089,796,1487,Gas Science and Engineering
EUREKA: Physics and Engineering,stem,T3,2461-4254;2461-4262,783,244,EUREKA Physics and Engineering
Litiyo i Metallurgiya (FOUNDRY PRODUCTION AND METALLURGY),stem,T3,1683-6065;2414-0406,774,129,Litiyo i Metallurgiya (FOUNDRY PRODUCTION AND METALLURGY)
"Journal of Mining and Metallurgy, Section B: Metallurgy",stem,T3,1450-5339;2217-7175,755,68,Journal of Mining and Metallurgy Section B Metallurgy
Ceramics,stem,T3,2571-6131,725,316,Ceramics
Processing and Application of Ceramics,stem,T3,1820-6131;2406-1034,699,87,Processing and Application of Ceramics
Forensic Chemistry,stem,T3,2468-1709,698,168,Forensic Chemistry
Izvestiya. Non-Ferrous Metallurgy,stem,T3,0021-3438;2412-8783,675,62,Izvestiya Non-Ferrous Metallurgy
Communications Engineering,stem,T3,2731-3395,647,482,Communications Engineering
Journal of Nanotechnology,stem,T3,1687-9503;1687-9511,643,100,Journal of Nanotechnology
Recent Patents on Nanotechnology,stem,T3,1872-2105,642,89,Recent Patents on Nanotechnology
Journal of Physics: Photonics,stem,T3,2515-7647,628,322,Journal of Physics Photonics
Black Sea Journal of Engineering and Science,stem,T3,2619-8991,617,432,Black Sea Journal of Engineering and Science
Discover Chemistry,stem,T3,3005-1193,614,611,Discover Chemistry
Journal of Physics: Energy,stem,T3,2515-7655,605,202,Journal of Physics Energy
"Mining, Metallurgy & Exploration",stem,T3,,604,604,
Journal of Computational Biophysics and Chemistry,stem,T3,2737-4165;2737-4173,566,297,Journal of Computational Biophysics and Chemistry
Journal of Physics: Materials,stem,T3,2515-7639,555,157,Journal of Physics Materials
Ceramics - Silikaty,stem,T3,0862-5468;1804-5847,555,135,Ceramics - Silikaty
Advanced Physics Research,stem,T3,2751-1200;2751-1200,538,267,Advanced Physics Research
Chinese Journal of Structural Chemistry,stem,T3,0254-5861,529,416,Chinese Journal of Structural Chemistry
Current Chemistry Letters,stem,T3,1927-7296;1927-730X,519,161,Current Chemistry Letters
Frontiers in Nanotechnology,stem,T3,2673-3013,483,185,Frontiers in Nanotechnology
Combinatorial Chemistry & High Throughput Screening,stem,T3,,472,472,
Discover Civil Engineering,stem,T3,2948-1546,452,431,Discover Civil Engineering
Next Nanotechnology,stem,T3,2949-8295,436,405,Next Nanotechnology
Journal of Physics: Complexity,stem,T3,2632-072X,412,168,Journal of Physics Complexity
Computational nanotechnology,stem,T3,2313-223X;2587-9693,406,165,Computational nanotechnology
SciPost Physics Core,stem,T3,2666-9366,402,193,SciPost Physics Core
Physics,stem,T3,0148-6349;2163-5102,399,1858,Physics
Precision Chemistry,stem,T3,2771-9316;2771-9316,384,232,Precision Chemistry
ACS Physical Chemistry Au,stem,T3,2694-2445;2694-2445,357,179,ACS Physical Chemistry Au
Journal of Advances in Physical Chemistry,stem,T3,2168-6122;2168-6130,348,149,Journal of Advances in Physical Chemistry
Chemistry,stem,T3,,344,344,
Physics Open,stem,T3,2666-0326,341,166,Physics Open
From Chemistry Towards Technology Step-By-Step,stem,T3,2782-1900,336,130,From Chemistry Towards Technology Step-By-Step
Green Analytical Chemistry,stem,T3,2772-5774,331,246,Green Analytical Chemistry
Nanotechnology and Precision Engineering,stem,T3,1672-6030;2589-5540,266,109,Nanotechnology and Precision Engineering
Fundamental and applied problems of ferrous metallurgy,stem,T3,2522-9117;2786-6149,257,70,Fundamental and applied problems of ferrous metallurgy
Mineral Processing and Extractive Metallurgy: Transactions of the Institutions of Mining and Metallurgy,stem,T3,2572-6641;2572-665X,232,52,Mineral Processing and Extractive Metallurgy Transactions of the Institutions of Mining and Metallurgy
Chemical Physics Reviews,stem,T3,2688-4070,231,106,Chemical Physics Reviews
Sustainable Chemistry One World,stem,T3,2950-3574,217,216,Sustainable Chemistry One World
Sustainable Chemistry for Climate Action,stem,T3,2772-8269,198,156,Sustainable Chemistry for Climate Action
Romanian Journal of Physics,stem,T3,1221-146X,188,133,Romanian Journal of Physics
"Nanotechnology, Science and Applications",stem,T3,1177-8903,188,66,Nanotechnology Science and Applications
Mining Technology: Transactions of the Institutions of Mining and Metallurgy,stem,T3,2572-6668;2572-6676,173,50,Mining Technology Transactions of the Institutions of Mining and Metallurgy
Chemistry–Methods,stem,T3,,172,172,
BULLETIN Series of Physics & Mathematical Sciences,stem,T3,,167,167,
Chemistry & Chemical Technology,stem,T3,,160,160,
Industrial Chemistry & Materials,stem,T3,,131,131,
"Semiconductor Physics, Quantum Electronics and Optoelectronics",stem,T3,,123,123,
Computers and Electrical Engineering,stem,T3,3026-0744,55,10506,Telecommunications Computers and Electricals Engineering Journal
Nanoscience & Nanotechnology-Asia,stem,T3,,55,55,
Engineering,stem,T3,3091-499X;3091-5007,36,6060,ENGINEERING Chemical Engineering
Journal of Engineering Research,stem,T3,2538-516X;2538-516X,12,3230,Journal of Civil Engineering Researchers
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",stem,T3,,0,2923,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences
"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",stem,T3,,0,2334,Proceedings of The Royal Society A Mathematical Physical and Engineering Sciences
SciPost Physics,stem,T3,,0,1606,SciPost Physics
